pollster_raw,pollster,start_date,end_date,n_size,univ,dem,rep,cycle
Economist/YouGov,economist_yougov,2/18/18,2/20/18,1308,RV,43,35,2018
Quinnipiac,quinnipiac,2/16/18,2/19/18,1249,RV,53,38,2018
Economist/YouGov,economist_yougov,2/11/18,2/13/18,1280,RV,42,38,2018
Reuters/Ipsos,reuters_ipsos,2/9/18,2/13/18,1515,Adults,39,30,2018
PPP (D),ppp,2/9/18,2/11/18,687,RV,49,41,2018
Marist,marist,2/5/18,2/7/18,807,RV,49,38,2018
Economist/YouGov,economist_yougov,2/4/18,2/6/18,1320,RV,43,37,2018
Reuters/Ipsos,reuters_ipsos,2/2/18,2/6/18,3110,Adults,38,31,2018
Quinnipiac,quinnipiac,2/2/18,2/5/18,1333,RV,49,40,2018
IBD/TIPP,idb_tipp,1/25/18,2/2/18,832,RV,46,41,2018
Monmouth,monmouth,1/28/18,1/30/18,711,RV,47,45,2018
Economist/YouGov,economist_yougov,1/28/18,1/30/18,1264,RV,42,37,2018
Reuters/Ipsos,reuters_ipsos,1/26/18,1/30/18,1856,Adults,37,31,2018
Rasmussen Reports,rasmussen,1/24/18,1/25/18,1000,LV,45,37,2018
FOX News,fox_news,1/21/18,1/23/18,1002,RV,44,38,2018
Economist/YouGov,economist_yougov,1/21/18,1/23/18,1301,RV,41,37,2018
Quinnipiac,quinnipiac,1/19/18,1/23/18,1245,RV,51,38,2018
Reuters/Ipsos,reuters_ipsos,1/19/18,1/23/18,2981,Adults,38,30,2018
ABC News/Wash Post,abc_wapo,1/15/18,1/18/18,846,RV,51,39,2018
NBC News/Wall St. Jrnl,nbc_wsj,1/13/18,1/17/18,765,RV,49,43,2018
Economist/YouGov,economist_yougov,1/14/18,1/16/18,1311,RV,42,36,2018
Reuters/Ipsos,reuters_ipsos,1/12/18,1/16/18,1638,Adults,37,32,2018
Quinnipiac,quinnipiac,1/12/18,1/16/18,1212,RV,50,39,2018
Pew Research,pew,1/10/18,1/15/18,1215,RV,53,39,2018
NPR/PBS/Marist,npr,1/8/18,1/10/18,1092,RV,46,40,2018
Emerson,emerson,1/8/18,1/11/18,600,RV,45,40,2018
Economist/YouGov,economist_yougov,1/8/18,1/9/18,1327,RV,44,37,2018
Quinnipiac,quinnipiac,1/5/18,1/9/18,1106,RV,52,35,2018
Reuters/Ipsos,reuters_ipsos,1/5/18,1/9/18,1616,Adults,40,31,2018
Economist/YouGov,economist_yougov,12/31/17,1/2/18,1277,RV,42,36,2018
Reuters/Ipsos,reuters_ipsos,12/29/17,1/2/18,1770,Adults,38,31,2018
Economist/YouGov,economist_yougov,12/24/17,12/26/17,1004,RV,44,36,2018
Economist/YouGov,economist_yougov,12/17/17,12/19/17,1291,RV,44,35,2018
Reuters/Ipsos,reuters_ipsos,12/15/17,12/19/17,2492,Adults,39,27,2018
Quinnipiac,quinnipiac,12/13/17,12/18/17,1230,RV,52,37,2018
CNN,cnn_orc,12/14/17,12/17/17,898,RV,56,38,2018
NBC News/Wall St. Jrnl,nbc_wsj,12/13/17,12/15/17,736,RV,50,39,2018
Economist/YouGov,economist_yougov,12/10/17,12/12/17,1338,RV,44,36,2018
Monmouth,monmouth,12/10/17,12/12/17,702,RV,51,36,2018
PPP (D),ppp,12/11/17,12/12/17,862,RV,51,40,2018
Reuters/Ipsos,reuters_ipsos,12/8/17,12/12/17,1457,Adults,37,29,2018
Quinnipiac,quinnipiac,12/6/17,12/11/17,1211,RV,49,37,2018
Marist,marist,12/4/17,12/7/17,1079,RV,50,37,2018
Economist/YouGov,economist_yougov,12/3/17,12/5/17,1341,RV,42,36,2018
Reuters/Ipsos,reuters_ipsos,12/1/17,12/5/17,1548,Adults,37,31,2018
Quinnipiac,quinnipiac,11/29/17,12/4/17,1508,RV,50,36,2018
Economist/YouGov,economist_yougov,11/26/17,11/28/17,1319,RV,41,35,2018
Reuters/Ipsos,reuters_ipsos,11/24/17,11/28/17,1969,Adults,36,30,2018
Reuters/Ipsos,reuters_ipsos,11/17/17,11/22/17,1489,Adults,37,28,2018
Economist/YouGov,economist_yougov,11/19/17,11/21/17,1344,RV,42,33,2018
NPR/PBS/Marist,npr,11/13/17,11/15/17,802,RV,43,40,2018
Economist/YouGov,economist_yougov,11/12/17,11/14/17,1281,RV,42,34,2018
Reuters/Ipsos,reuters_ipsos,11/10/17,11/14/17,1520,Adults,38,31,2018
Quinnipiac,quinnipiac,11/7/17,11/13/17,1577,RV,51,38,2018
Marist,marist,11/6/17,11/9/17,850,RV,51,36,2018
Economist/YouGov,economist_yougov,11/5/17,11/7/17,1336,RV,40,33,2018
Reuters/Ipsos,reuters_ipsos,11/3/17,11/7/17,1572,Adults,38,30,2018
ABC News/Wash Post,abc_wapo,10/29/17,11/1/17,884,RV,51,40,2018
Economist/YouGov,economist_yougov,10/29/17,10/31/17,1291,RV,39,36,2018
