delta_cycle,delta_pollster,delta_mu,delta_sigma2,pollster_raw
0,rasmussen,0,0.010412328196584757,Rasmussen
0,cnn_orc,0,0.010412328196584757,CNN/ORC
0,hotline,0,0.010412328196584757,Hotline/FD
0,usa_today_gallup,0,0.010412328196584757,USA Today/Gallup
0,cbs_nyt,0,0.010412328196584757,CBS/NYT
0,quinnipiac,0,0.010412328196584757,Quinnipiac
0,time,0,0.010412328196584757,Time
0,newsweek,0,0.010412328196584757,Newsweek
0,cook,0,0.010412328196584757,Cook/RT Strategies
0,fox_news,0,0.010412328196584757,Fox News
0,abc_wapo,0,0.010412328196584757,ABC/WaPo
0,gallup,0,0.010412328196584757,Gallup
0,pew,0,0.010412328196584757,Pew
0,nbc_wsj,0,0.010412328196584757,NBC/WSJ
0,ap_ipsos,0,0.010412328196584757,AP/Ipsos
0,lat_bloomberg,0,0.010412328196584757,LAT/Bloomberg
0,zogby,0,0.010412328196584757,Zogby
0,battleground,0,0.010412328196584757,Battleground
0,dem_corps,0,0.010412328196584757,Democracy Corps (D)
0,harris,0,0.010412328196584757,Harris
0,ap_gfk,0,0.010412328196584757,AP/GFK
0,gwu_battleground,0,0.010412328196584757,GWU/Battleground
0,diageo,0,0.010412328196584757,Diageo/Hotline
0,ppp,0,0.010412328196584757,PPP (D)
0,mclaughlin,0,0.010412328196584757,McLaughlin (R) 
0,npr,0,0.010412328196584757,NPR
0,pos,0,0.010412328196584757,POS (R) 
0,ipsos_mcclatchy,0,0.010412328196584757,Ipsos/McClatchy
0,nat_journal,0,0.010412328196584757,National Journal/FD
0,bloomberg,0,0.010412328196584757,Bloomberg
0,reuters_ipsos,0,0.010412328196584757,Reuters/Ipsos
0,politico_gwu_battleground,0,0.010412328196584757,Politico/GWU/Battleground
0,mcclatchy_marist,0,0.010412328196584757,McClatchy/Marist
0,gallup_ht,0,0.010412328196584757,Gallup High-Turnout
0,gallup_lt,0,0.010412328196584757,Gallup Low-Turnout
0,resurgen_republic,0,0.010412328196584757,Resurgent Republic (R)
0,reason,0,0.010412328196584757,Reason
0,usa_today_pew,0,0.010412328196584757,USA Today/Pew
0,usa_today_psrai,0,0.010412328196584757,USA Today/PSRAI
0,economist_yougov,0,0.010412328196584757,Economist/YouGov
0,winston,0,0.010412328196584757,Winston (R) 
2006,abc_wapo,-0.007773292795069165,7.377572961932865e-4,ABC/WaPo
2006,ap_ipsos,0.017920451467529467,5.414209055288716e-4,AP/Ipsos
2006,battleground,-0.016289451989293685,7.227241671600519e-4,Battleground
2006,cbs_nyt,0.034355501099749663,5.429744400320077e-4,CBS/NYT
2006,cnn_orc,0.007141835039196124,5.137251171469214e-4,CNN/ORC
2006,cook,0.022502084333834195,5.368263059699872e-4,Cook/RT Strategies
2006,dem_corps,-0.007262679752774587,7.19691188872249e-4,Democracy Corps (D)
2006,fox_news,-0.0024990948063429897,5.095565619836074e-4,Fox News
2006,gallup,0.012745643329947537,7.556513517948933e-4,Gallup
2006,harris,0.007204419266391038,7.539076413554794e-4,Harris
2006,hotline,0.0036851320788960436,6.387062105889726e-4,Hotline/FD
2006,lat_bloomberg,0.0043662112344698386,6.851179280625768e-4,LAT/Bloomberg
2006,nbc_wsj,0.0051689156413353525,5.752195476352287e-4,NBC/WSJ
2006,newsweek,0.013661443204957557,5.252971516779699e-4,Newsweek
2006,pew,0.006202667840066622,5.208587869924984e-4,Pew
2006,quinnipiac,0.0024404113464330944,7.378733941807749e-4,Quinnipiac
2006,rasmussen,6.820642059110585e-4,8.330557521068435e-4,Rasmussen
2006,time,0.01375988986268327,5.57959371303495e-4,Time
2006,usa_today_gallup,-0.023587171003562314,5.136370458797058e-4,USA Today/Gallup
2006,zogby,-0.0037750563103225204,5.878368476780073e-4,Zogby
2006,ap_gfk,NA,NA,AP/GFK
2006,bloomberg,NA,NA,Bloomberg
2006,diageo,NA,NA,Diageo/Hotline
2006,economist_yougov,NA,NA,Economist/YouGov
2006,gallup_ht,NA,NA,Gallup High-Turnout
2006,gallup_lt,NA,NA,Gallup Low-Turnout
2006,gwu_battleground,NA,NA,GWU/Battleground
2006,ipsos_mcclatchy,NA,NA,Ipsos/McClatchy
2006,mcclatchy_marist,NA,NA,McClatchy/Marist
2006,mclaughlin,NA,NA,McLaughlin (R) 
2006,nat_journal,NA,NA,National Journal/FD
2006,npr,NA,NA,NPR
2006,politico_gwu_battleground,NA,NA,Politico/GWU/Battleground
2006,pos,NA,NA,POS (R) 
2006,ppp,NA,NA,PPP (D)
2006,reason,NA,NA,Reason
2006,resurgen_republic,NA,NA,Resurgent Republic (R)
2006,reuters_ipsos,NA,NA,Reuters/Ipsos
2006,usa_today_pew,NA,NA,USA Today/Pew
2006,usa_today_psrai,NA,NA,USA Today/PSRAI
2006,winston,NA,NA,Winston (R) 
2008,abc_wapo,-0.012555431608549385,4.09012965000607e-4,ABC/WaPo
2008,ap_gfk,0.0029535104049993035,2.2073154996510392e-4,AP/GFK
2008,ap_ipsos,0.033531840526148535,2.2434148419535848e-4,AP/Ipsos
2008,battleground,-0.008026939851233223,1.3780713408842818e-4,Battleground
2008,cbs_nyt,0.03907495518392212,9.118755558744952e-5,CBS/NYT
2008,cnn_orc,-0.005796316145936398,1.4930046257934164e-4,CNN/ORC
2008,dem_corps,-0.016049460405858456,9.388059274135595e-5,Democracy Corps (D)
2008,diageo,-0.02433502690662286,3.5873466754954715e-4,Diageo/Hotline
2008,fox_news,-0.01344501992108875,1.596177387749215e-4,Fox News
2008,gallup,0.009181454188913554,1.571323768056143e-4,Gallup
2008,gwu_battleground,-0.008442576738927631,1.1684584544279266e-4,GWU/Battleground
2008,lat_bloomberg,-0.0058950353210003885,1.6421436926140936e-4,LAT/Bloomberg
2008,nbc_wsj,0.012988260891935294,8.667040262778709e-5,NBC/WSJ
2008,newsweek,0.003543218238163048,2.0028861707151185e-4,Newsweek
2008,pew,0.007021517116096302,1.7894202876152354e-4,Pew
2008,rasmussen,-0.0012630148139668492,7.304670669120372e-5,Rasmussen
2008,time,0.0046593789767791485,2.0602934954403054e-4,Time
2008,usa_today_gallup,-0.03138518930022147,1.2865112517705364e-4,USA Today/Gallup
2008,bloomberg,NA,NA,Bloomberg
2008,cook,NA,NA,Cook/RT Strategies
2008,economist_yougov,NA,NA,Economist/YouGov
2008,gallup_ht,NA,NA,Gallup High-Turnout
2008,gallup_lt,NA,NA,Gallup Low-Turnout
2008,harris,NA,NA,Harris
2008,hotline,NA,NA,Hotline/FD
2008,ipsos_mcclatchy,NA,NA,Ipsos/McClatchy
2008,mcclatchy_marist,NA,NA,McClatchy/Marist
2008,mclaughlin,NA,NA,McLaughlin (R) 
2008,nat_journal,NA,NA,National Journal/FD
2008,npr,NA,NA,NPR
2008,politico_gwu_battleground,NA,NA,Politico/GWU/Battleground
2008,pos,NA,NA,POS (R) 
2008,ppp,NA,NA,PPP (D)
2008,quinnipiac,NA,NA,Quinnipiac
2008,reason,NA,NA,Reason
2008,resurgen_republic,NA,NA,Resurgent Republic (R)
2008,reuters_ipsos,NA,NA,Reuters/Ipsos
2008,usa_today_pew,NA,NA,USA Today/Pew
2008,usa_today_psrai,NA,NA,USA Today/PSRAI
2008,winston,NA,NA,Winston (R) 
2008,zogby,NA,NA,Zogby
2010,abc_wapo,0.006808224108009317,9.695867714866643e-5,ABC/WaPo
2010,ap_gfk,-0.003861963244122396,9.404547315052324e-5,AP/GFK
2010,battleground,-0.0019887231955783846,9.321591913188412e-5,Battleground
2010,bloomberg,0.0068335060033146615,7.528472501969907e-5,Bloomberg
2010,cnn_orc,-0.008762190526813271,3.130493572051082e-5,CNN/ORC
2010,dem_corps,0.0011789011003132612,2.629315899381421e-5,Democracy Corps (D)
2010,diageo,0.009626299563671954,5.9969513359655845e-5,Diageo/Hotline
2010,fox_news,-0.026483065500123065,2.945391736698971e-5,Fox News
2010,gallup,-0.010626056731765629,2.030406181236429e-5,Gallup
2010,gallup_ht,-0.033088661263250795,5.3275872934270625e-5,Gallup High-Turnout
2010,gallup_lt,-0.06015163527501993,5.279370409771211e-5,Gallup Low-Turnout
2010,gwu_battleground,0.004391852425200017,6.626749596185003e-5,GWU/Battleground
2010,ipsos_mcclatchy,0.004508469672295318,6.385874347904871e-5,Ipsos/McClatchy
2010,mcclatchy_marist,-0.005870284408989875,2.3017334152423835e-4,McClatchy/Marist
2010,mclaughlin,-0.012208183569383978,1.4977468569264815e-4,McLaughlin (R) 
2010,nat_journal,0.01142824260215531,1.3968831441883324e-4,National Journal/FD
2010,newsweek,0.016618066891470572,6.255156921456508e-5,Newsweek
2010,npr,-0.01415092737002238,1.247181337610521e-4,NPR
2010,pew,0.0021781142952087447,2.6296943943980896e-5,Pew
2010,politico_gwu_battleground,0.010350790555298948,1.0274826064102898e-4,Politico/GWU/Battleground
2010,pos,-2.5398821280123184e-4,1.1701728382435632e-4,POS (R) 
2010,ppp,-0.004729707996140174,4.252055738530124e-5,PPP (D)
2010,quinnipiac,-0.0043862918182164265,3.324542216776902e-5,Quinnipiac
2010,rasmussen,-0.024051325360799538,1.799775696815152e-5,Rasmussen
2010,reuters_ipsos,0.0013548479958749482,7.492168759313119e-5,Reuters/Ipsos
2010,time,-0.002742607724695557,9.48515232553615e-5,Time
2010,usa_today_gallup,-0.013397667794023176,5.2241759341143935e-5,USA Today/Gallup
2010,winston,-0.011284251598147582,2.9872030500007287e-4,Winston (R) 
2010,ap_ipsos,NA,NA,AP/Ipsos
2010,cbs_nyt,NA,NA,CBS/NYT
2010,cook,NA,NA,Cook/RT Strategies
2010,economist_yougov,NA,NA,Economist/YouGov
2010,harris,NA,NA,Harris
2010,hotline,NA,NA,Hotline/FD
2010,lat_bloomberg,NA,NA,LAT/Bloomberg
2010,nbc_wsj,NA,NA,NBC/WSJ
2010,reason,NA,NA,Reason
2010,resurgen_republic,NA,NA,Resurgent Republic (R)
2010,usa_today_pew,NA,NA,USA Today/Pew
2010,usa_today_psrai,NA,NA,USA Today/PSRAI
2010,zogby,NA,NA,Zogby
2012,bloomberg,-0.006699387855063848,4.719674498753794e-5,Bloomberg
2012,cbs_nyt,0.0284131843309242,7.655670026887638e-5,CBS/NYT
2012,cnn_orc,-0.010454618246019624,2.46064301097721e-5,CNN/ORC
2012,dem_corps,-0.0012183506118262197,1.3766353466547891e-5,Democracy Corps (D)
2012,gallup,-0.01135646594981758,1.7667076659516377e-5,Gallup
2012,mcclatchy_marist,-0.01396949166758604,1.3689895152041442e-4,McClatchy/Marist
2012,newsweek,0.01424629401279515,5.478557884175578e-5,Newsweek
2012,npr,-0.016715377811765002,6.991333054199295e-5,NPR
2012,pew,-0.0027571023422952815,2.1424212659263216e-5,Pew
2012,politico_gwu_battleground,-0.004699435342397631,2.2091377015055123e-5,Politico/GWU/Battleground
2012,ppp,0.003415734424643432,2.7316538068231955e-5,PPP (D)
2012,quinnipiac,-0.004147477896342053,1.609792911388408e-5,Quinnipiac
2012,rasmussen,-0.009111926951809525,8.436306048787347e-6,Rasmussen
2012,resurgen_republic,-0.02990378013831636,9.723544859347775e-5,Resurgent Republic (R)
2012,reuters_ipsos,-0.020261591751819713,2.495719455190491e-5,Reuters/Ipsos
2012,usa_today_gallup,-0.01317689757325459,2.897912793607002e-5,USA Today/Gallup
2012,abc_wapo,NA,NA,ABC/WaPo
2012,ap_gfk,NA,NA,AP/GFK
2012,ap_ipsos,NA,NA,AP/Ipsos
2012,battleground,NA,NA,Battleground
2012,cook,NA,NA,Cook/RT Strategies
2012,diageo,NA,NA,Diageo/Hotline
2012,economist_yougov,NA,NA,Economist/YouGov
2012,fox_news,NA,NA,Fox News
2012,gallup_ht,NA,NA,Gallup High-Turnout
2012,gallup_lt,NA,NA,Gallup Low-Turnout
2012,gwu_battleground,NA,NA,GWU/Battleground
2012,harris,NA,NA,Harris
2012,hotline,NA,NA,Hotline/FD
2012,ipsos_mcclatchy,NA,NA,Ipsos/McClatchy
2012,lat_bloomberg,NA,NA,LAT/Bloomberg
2012,mclaughlin,NA,NA,McLaughlin (R) 
2012,nat_journal,NA,NA,National Journal/FD
2012,nbc_wsj,NA,NA,NBC/WSJ
2012,pos,NA,NA,POS (R) 
2012,reason,NA,NA,Reason
2012,time,NA,NA,Time
2012,usa_today_pew,NA,NA,USA Today/Pew
2012,usa_today_psrai,NA,NA,USA Today/PSRAI
2012,winston,NA,NA,Winston (R) 
2012,zogby,NA,NA,Zogby
2014,abc_wapo,-0.003604342659972255,5.441741513311121e-5,ABC/WaPo
2014,ap_gfk,-0.014623726749976381,7.069304902502942e-5,AP/GFK
2014,bloomberg,-0.007713651701988461,4.1867933104948876e-5,Bloomberg
2014,cbs_nyt,0.008191681060132471,5.185798173142934e-5,CBS/NYT
2014,cnn_orc,-0.010099755487881737,1.7617805962931543e-5,CNN/ORC
2014,dem_corps,-0.0026171794752675166,1.1869041258083568e-5,Democracy Corps (D)
2014,fox_news,-0.019356810743347996,1.3440165055922272e-5,Fox News
2014,gallup,-0.011667093710864863,1.6543635167649678e-5,Gallup
2014,gwu_battleground,-0.0072085135404377065,3.515023101921067e-5,GWU/Battleground
2014,mcclatchy_marist,-0.007020868210129739,4.480820501858121e-5,McClatchy/Marist
2014,nbc_wsj,0.011304202172552708,5.906190514556399e-5,NBC/WSJ
2014,npr,-0.015257723440154514,5.76893415289651e-5,NPR
2014,pew,-0.0031019833964305234,1.5904722118708947e-5,Pew
2014,politico_gwu_battleground,-0.00714804124915782,2.0553950334618855e-5,Politico/GWU/Battleground
2014,ppp,-0.002307485368267861,1.5249818373972346e-5,PPP (D)
2014,quinnipiac,-0.004121977961080897,9.679098139182612e-6,Quinnipiac
2014,rasmussen,-0.0011594076513933517,5.203480707150587e-6,Rasmussen
2014,reason,-0.014300080279634834,3.391199378838832e-4,Reason
2014,usa_today_pew,0.009968685170489624,7.894523268689801e-5,USA Today/Pew
2014,usa_today_psrai,0.0170613752099052,3.7074875488940035e-4,USA Today/PSRAI
2014,ap_ipsos,NA,NA,AP/Ipsos
2014,battleground,NA,NA,Battleground
2014,cook,NA,NA,Cook/RT Strategies
2014,diageo,NA,NA,Diageo/Hotline
2014,economist_yougov,NA,NA,Economist/YouGov
2014,gallup_ht,NA,NA,Gallup High-Turnout
2014,gallup_lt,NA,NA,Gallup Low-Turnout
2014,harris,NA,NA,Harris
2014,hotline,NA,NA,Hotline/FD
2014,ipsos_mcclatchy,NA,NA,Ipsos/McClatchy
2014,lat_bloomberg,NA,NA,LAT/Bloomberg
2014,mclaughlin,NA,NA,McLaughlin (R) 
2014,nat_journal,NA,NA,National Journal/FD
2014,newsweek,NA,NA,Newsweek
2014,pos,NA,NA,POS (R) 
2014,resurgen_republic,NA,NA,Resurgent Republic (R)
2014,reuters_ipsos,NA,NA,Reuters/Ipsos
2014,time,NA,NA,Time
2014,usa_today_gallup,NA,NA,USA Today/Gallup
2014,winston,NA,NA,Winston (R) 
2014,zogby,NA,NA,Zogby
2016,abc_wapo,-0.007618977798389074,3.731947236444349e-5,ABC/WaPo
2016,ap_gfk,-0.009326912665442456,5.420264994563395e-5,AP/GFK
2016,bloomberg,-0.00905948613085788,2.984362368526627e-5,Bloomberg
2016,cbs_nyt,0.004282406009687648,3.5973554894417574e-5,CBS/NYT
2016,cnn_orc,-0.010649579893157353,1.6055878291676486e-5,CNN/ORC
2016,economist_yougov,0.0069061701311148435,3.036292766279779e-5,Economist/YouGov
2016,fox_news,-0.01666693213137117,1.1038302990742386e-5,Fox News
2016,gwu_battleground,-0.003985021667578015,2.6597352077727327e-5,GWU/Battleground
2016,mcclatchy_marist,-0.0028805825010782635,3.1734875366608665e-5,McClatchy/Marist
2016,nbc_wsj,-3.963611089811924e-4,2.3674507738666372e-5,NBC/WSJ
2016,ppp,-0.0022685928427093947,1.3856939303024446e-5,PPP (D)
2016,quinnipiac,-0.005105334592385628,9.004490964847222e-6,Quinnipiac
2016,rasmussen,-0.001600465995099804,5.08805655487816e-6,Rasmussen
2016,reuters_ipsos,-0.012895355012840034,1.5223324829943564e-5,Reuters/Ipsos
2016,ap_ipsos,NA,NA,AP/Ipsos
2016,battleground,NA,NA,Battleground
2016,cook,NA,NA,Cook/RT Strategies
2016,dem_corps,NA,NA,Democracy Corps (D)
2016,diageo,NA,NA,Diageo/Hotline
2016,gallup,NA,NA,Gallup
2016,gallup_ht,NA,NA,Gallup High-Turnout
2016,gallup_lt,NA,NA,Gallup Low-Turnout
2016,harris,NA,NA,Harris
2016,hotline,NA,NA,Hotline/FD
2016,ipsos_mcclatchy,NA,NA,Ipsos/McClatchy
2016,lat_bloomberg,NA,NA,LAT/Bloomberg
2016,mclaughlin,NA,NA,McLaughlin (R) 
2016,nat_journal,NA,NA,National Journal/FD
2016,newsweek,NA,NA,Newsweek
2016,npr,NA,NA,NPR
2016,pew,NA,NA,Pew
2016,politico_gwu_battleground,NA,NA,Politico/GWU/Battleground
2016,pos,NA,NA,POS (R) 
2016,reason,NA,NA,Reason
2016,resurgen_republic,NA,NA,Resurgent Republic (R)
2016,time,NA,NA,Time
2016,usa_today_gallup,NA,NA,USA Today/Gallup
2016,usa_today_pew,NA,NA,USA Today/Pew
2016,usa_today_psrai,NA,NA,USA Today/PSRAI
2016,winston,NA,NA,Winston (R) 
2016,zogby,NA,NA,Zogby
