theta_cycle,theta_univ,theta_mu,theta_sigma2
0,LV,0,0.010412328196584757
0,Adults,0,0.010412328196584757
0,RV,0,0.010412328196584757
2006,Adults,0.029545536371100644,6.109160958745215e-4
2006,LV,0.03251707079065651,5.365202315975043e-4
2006,RV,0.03056884926333627,6.086672355318645e-4
2008,Adults,0.02554284735810838,3.861749820093917e-4
2008,LV,0.008728433204898356,9.840294816775912e-5
2008,RV,0.014663653226828055,1.2252895265652092e-4
2010,Adults,0.04344568125797903,8.263057594970408e-5
2010,LV,-0.0016118097105048085,2.9836075560980253e-5
2010,RV,0.025888658215393445,3.654360912069726e-5
2012,Adults,0.03745497946844267,6.574143447802233e-5
2012,LV,0.004399510449893992,1.460727667765548e-5
2012,RV,0.015247990503251404,1.7370516526848154e-5
2014,Adults,0.03735855975536847,6.534278823169958e-5
2014,LV,0.006589992771485106,9.291199418121181e-6
2014,RV,0.014622430375882334,1.056321846392736e-5
2016,Adults,0.03857221629580467,3.79819466270661e-5
2016,LV,0.00924641162324094,6.760080916192348e-6
2016,RV,0.013122058346421394,8.270034802793435e-6
