delta_cycle,delta_pollster,delta_mu,delta_sigma2,pollster_raw
2010,gallup_lt,-0.06032212299230186,5.275048380166354e-5,Gallup Low-Turnout
2010,gallup_ht,-0.03323856448422505,5.333119552784281e-5,Gallup High-Turnout
2012,resurgen_republic,-0.03008275378398188,9.69466947722261e-5,Resurgent Republic (R)
2016,fox_news,-0.016853438823917644,1.095946170957052e-5,Fox News
2014,npr,-0.015404455783431517,5.760211221813422e-5,NPR
2014,reason,-0.014532897078785665,3.3916285049278574e-4,Reason
2012,usa_today_gallup,-0.013358276603557427,2.8828168482511545e-5,USA Today/Gallup
2016,reuters_ipsos,-0.013076820680471684,1.5204461430584631e-5,Reuters/Ipsos
2010,mclaughlin,-0.012341844919340374,1.495861415050083e-4,McLaughlin (R) 
2014,gallup,-0.011826336892041064,1.6465905032461702e-5,Gallup
2010,winston,-0.01140716856526749,3.0086203724956297e-4,Winston (R) 
2016,cnn_orc,-0.010837532296356409,1.5997109248891102e-5,CNN/ORC
2016,ap_gfk,-0.009543968253439455,5.386379868205454e-5,AP/GFK
2016,bloomberg,-0.009261934786561522,2.9684180831970446e-5,Bloomberg
2016,abc_wapo,-0.007816427145216793,3.731874763682816e-5,ABC/WaPo
2014,politico_gwu_battleground,-0.007331129039192975,2.0456590416404527e-5,Politico/GWU/Battleground
2008,lat_bloomberg,-0.006057578099974358,1.645790148751025e-4,LAT/Bloomberg
2016,quinnipiac,-0.005281494285685113,8.993747265032301e-6,Quinnipiac
2016,gwu_battleground,-0.004179651135858585,2.6590835136353164e-5,GWU/Battleground
2006,zogby,-0.003936161448663065,5.897818306046599e-4,Zogby
2014,pew,-0.0032691295442111817,1.579193280638277e-5,Pew
2016,mcclatchy_marist,-0.003049455271919172,3.158139170561481e-5,McClatchy/Marist
2010,time,-0.002882134526444441,9.444131910480261e-5,Time
2014,dem_corps,-0.002781882595319828,1.184815497156265e-5,Democracy Corps (D)
2016,ppp,-0.002462330891540479,1.3834288546280992e-5,PPP (D)
2010,battleground,-0.0021284506500063704,9.333041264284329e-5,Battleground
2016,rasmussen,-0.00181607387418358,5.0462716419476226e-6,Rasmussen
2016,nbc_wsj,-5.558270176654399e-4,2.3499557751032256e-5,NBC/WSJ
2010,pos,-4.5548697747940136e-4,1.1633618004622807e-4,POS (R) 
2006,hotline,0.003574968984626889,6.421255014893179e-4,Hotline/FD
2016,cbs_nyt,0.00403621815968152,3.6125291439730134e-5,CBS/NYT
2010,ipsos_mcclatchy,0.004369903485849455,6.376392765305053e-5,Ipsos/McClatchy
2016,economist_yougov,0.006753393679105769,3.0369090731843896e-5,Economist/YouGov
2006,harris,0.007019582214624219,7.597847985150142e-4,Harris
2010,diageo,0.009443208012828068,6.0137537346835915e-5,Diageo/Hotline
2014,usa_today_pew,0.009790396163871727,7.900887104419984e-5,USA Today/Pew
2010,nat_journal,0.011296226223380593,1.3966863268762326e-4,National Journal/FD
2012,newsweek,0.01407227470573779,5.498100921474925e-5,Newsweek
2014,usa_today_psrai,0.01686566104034345,3.7123884637628836e-4,USA Today/PSRAI
2006,cook,0.022376471710527413,5.407427371462808e-4,Cook/RT Strategies
2008,ap_ipsos,0.033330618674310294,2.253419816946881e-4,AP/Ipsos
