pollster_raw,pollster,start_date,end_date,n_size,univ,rep,dem,cycle
Rasmussen,rasmussen,8/17/06,8/19/06,960,LV,38,46,2006
CNN/Opinion Research,cnn_orc,8/18/06,8/20/06,1033,Adults,43,52,2006
Hotline/FD,hotline,8/17/06,8/20/06,425,LV,40,40,2006
USA Today/Gallup,usa_today_gallup,8/18/06,8/20/06,1001,Adults,45,47,2006
CBS News/NY Times,cbs_nyt,8/17/06,8/21/06,1206,Adults,32,47,2006
Quinnipiac,quinnipiac,8/17/06,8/23/06,1080,RV,39,48,2006
Time,time,8/22/06,8/24/06,1002,Adults,40,51,2006
Newsweek,newsweek,8/24/06,8/25/06,1002,Adults,38,50,2006
Cook/RT Strategies,cook,8/25/06,8/27/06,801,RV,40,51,2006
FOX News,fox_news,8/29/06,8/30/06,900,RV,32,48,2006
CNN,cnn_orc,8/30/06,9/2/06,1004,Adults,43,53,2006
ABC News,abc_wapo,9/5/06,9/7/06,1003,Adults,42,50,2006
Gallup,gallup,9/7/06,9/10/06,925,RV,41,53,2006
Pew Research,pew,9/6/06,9/10/06,1191,RV,39,50,2006
NBC/WSJ,nbc_wsj,9/8/06,9/11/06,1009,RV,39,48,2006
AP-Ipsos,ap_ipsos,9/11/06,9/13/06,1501,Adults,39,53,2006
FOX News,fox_news,9/12/06,9/13/06,900,LV,38,41,2006
USA Today/Gallup,usa_today_gallup,9/15/06,9/17/06,1003,Adults,48,48,2006
CBS News/NY Times,cbs_nyt,9/15/06,9/19/06,1007,RV,35,50,2006
LA Times/Bloomberg,lat_bloomberg,9/16/06,9/19/06,1347,RV,39,49,2006
CNN,cnn_orc,9/22/06,9/24/06,573,LV,42,55,2006
Zogby,zogby,9/22/06,9/25/06,1000,LV,33,42,2006
Hotline/FD,hotline,9/24/06,9/26/06,423,LV,33,46,2006
Battleground,battleground,9/24/06,9/27/06,1000,LV,41,49,2006
FOX News,fox_news,9/26/06,9/27/06,900,LV,38,49,2006
CNN,cnn_orc,9/29/06,10/2/06,548,LV,42,53,2006
NBC/WSJ,nbc_wsj,9/30/06,10/2/06,805,RV,39,48,2006
Democracy Corps (D),dem_corps,10/1/06,10/3/06,1000,LV,41,51,2006
AP-Ipsos,ap_ipsos,10/2/06,10/4/06,741,LV,41,51,2006
Pew Research,pew,9/21/06,10/4/06,1804,Adults,38,51,2006
Time,time,10/3/06,10/4/06,1002,Adults,39,54,2006
Newsweek,newsweek,10/5/06,10/6/06,624,LV,39,51,2006
CBS News/NY Times,cbs_nyt,10/5/06,10/8/06,891,RV,35,49,2006
CNN,cnn_orc,10/6/06,10/8/06,543,LV,37,58,2006
Cook/RT Strategies,cook,10/5/06,10/8/06,837,RV,38,49,2006
USA Today/Gallup,usa_today_gallup,10/6/06,10/8/06,622,LV,36,59,2006
Harris,harris,10/6/06,10/9/06,1001,Adults,35,47,2006
FOX News,fox_news,10/10/06,10/11/06,900,LV,41,50,2006
NBC/WSJ,nbc_wsj,10/13/06,10/16/06,1006,RV,37,52,2006
Newsweek,newsweek,10/19/06,10/20/06,578,LV,37,55,2006
Cook/RT Strategies,cook,10/19/06,10/22/06,683,LV,35,57,2006
Pew Research,pew,10/17/06,10/22/06,1118,LV,39,50,2006
USA Today/Gallup,usa_today_gallup,10/20/06,10/22/06,675,LV,41,54,2006
Hotline/FD,hotline,10/19/06,10/23/06,580,LV,34,52,2006
Zogby,zogby,10/20/06,10/23/06,1013,LV,33,44,2006
AP-Ipsos,ap_ipsos,10/20/06,10/25/06,970,LV,37,56,2006
FOX News,fox_news,10/24/06,10/25/06,900,LV,38,49,2006
Newsweek,newsweek,10/27/06,10/26/06,677,LV,38,53,2006
CNN,cnn_orc,10/27/06,10/29/06,499,LV,42,53,2006
Cook/RT Strategies,cook,10/26/06,10/29/06,981,LV,36,59,2006
NBC/WSJ,nbc_wsj,10/28/06,10/30/06,1010,RV,37,52,2006
Newsweek,newsweek,11/2/06,11/3/06,838,LV,38,54,2006
Time,time,11/1/06,11/3/06,679,LV,40,55,2006
CNN,cnn_orc,11/3/06,11/5/06,636,LV,38,58,2006
FOX News,fox_news,11/4/06,11/5/06,900,LV,36,49,2006
USA Today/Gallup,usa_today_gallup,11/2/06,11/5/06,1362,LV,44,51,2006
NBC News/Wall St. Jrnl*,nbc_wsj,4/25/08,4/28/08,1006,RV,34,49,2008
CBS News/NY Times,cbs_nyt,4/25/08,4/29/08,956,RV,32,50,2008
Rasmussen,rasmussen,4/28/08,4/29/08,800,LV,41,46,2008
Battleground,battleground,5/11/08,5/14/08,1018,LV,40,49,2008
Democracy Corps (D),dem_corps,5/13/08,5/15/08,1014,LV,42,52,2008
Rasmussen,rasmussen,5/21/08,5/22/08,800,LV,39,47,2008
Rasmussen,rasmussen,6/2/08,6/8/08,7423,LV,34,47,2008
ABC News/Wash Post,abc_wapo,6/12/08,6/15/08,1125,Adults,38,53,2008
Rasmussen,rasmussen,6/9/08,6/15/08,7000,LV,34,48,2008
USA Today/Gallup,usa_today_gallup,6/15/08,6/19/08,1310,LV,42,52,2008
Rasmussen,rasmussen,6/16/08,6/22/08,7000,LV,34,47,2008
Democracy Corps (D),dem_corps,6/22/08,6/25/08,2000,LV,42,50,2008
Pew Research,pew,6/18/08,6/29/08,1574,RV,37,52,2008
Rasmussen,rasmussen,7/7/08,7/13/08,7000,LV,36,46,2008
Rasmussen,rasmussen,7/14/08,7/20/08,7000,LV,34,47,2008
NBC News/Wall St. Jrnl*,nbc_wsj,7/18/08,7/21/08,1003,RV,36,49,2008
Democracy Corps (D),dem_corps,7/21/08,7/24/08,1004,LV,42,50,2008
Rasmussen,rasmussen,7/28/08,8/3/08,7000,LV,36,46,2008
AP-Ipsos,ap_ipsos,7/31/08,8/4/08,833,RV,35,53,2008
Rasmussen,rasmussen,8/4/08,8/10/08,7000,LV,37,45,2008
Battleground,battleground,8/10/08,8/14/08,1000,LV,40,47,2008
NBC News/Wall St. Jrnl*,nbc_wsj,8/15/08,8/18/08,1005,RV,36,47,2008
FOX News,fox_news,8/19/08,8/20/08,900,RV,38,45,2008
USA Today/Gallup,usa_today_gallup,8/21/08,8/23/08,765,LV,42,51,2008
Rasmussen,rasmussen,8/25/08,8/31/08,7000,LV,36,46,2008
Democracy Corps (D),dem_corps,9/1/08,9/3/08,1000,LV,45,50,2008
CNN/OpinionResearch,cnn_orc,9/5/08,9/7/08,942,RV,46,49,2008
Rasmussen,rasmussen,9/1/08,9/7/08,7000,LV,37,45,2008
USA Today/Gallup,usa_today_gallup,9/5/08,9/7/08,823,LV,50,45,2008
Associated Press/GfK*,ap_gfk,9/5/08,9/10/08,812,LV,41,46,2008
Democracy Corps (D),dem_corps,9/8/08,9/10/08,1000,LV,45,50,2008
Battleground,battleground,9/7/08,9/11/08,1000,LV,40,48,2008
Newsweek,newsweek,9/10/08,9/11/08,1038,RV,41,49,2008
Rasmussen,rasmussen,9/8/08,9/14/08,7000,LV,38,44,2008
CBS News/NY Times,cbs_nyt,9/12/08,9/16/08,1004,RV,31,51,2008
CNN/Opinion Research,cnn_orc,9/19/08,9/21/08,697,LV,42,56,2008
Rasmussen,rasmussen,9/15/08,9/21/08,7000,LV,38,45,2008
LA Times/Bloomberg,lat_bloomberg,9/19/08,9/22/08,838,LV,41,51,2008
NBC News/Wall St. Jrnl*,nbc_wsj,9/19/08,9/22/08,1085,RV,37,50,2008
GWU/Battleground,gwu_battleground,9/21/08,9/25/08,1000,LV,41,46,2008
Time,time,9/26/08,9/29/08,1133,LV,36,46,2008
Associated Press/GfK*,ap_gfk,9/27/08,9/30/08,808,LV,36,49,2008
Democracy Corps (D),dem_corps,9/28/08,9/30/08,1000,LV,43,51,2008
Democracy Corps (D),dem_corps,10/1/08,10/5/08,1000,LV,41,54,2008
NBC News/Wall St. Jrnl*,nbc_wsj,10/4/08,10/5/08,658,RV,36,49,2008
FOX News,fox_news,10/8/08,10/9/08,900,RV,36,44,2008
GWU/Battleground,gwu_battleground,10/6/08,10/9/08,800,LV,38,49,2008
CBS News/NY Times,cbs_nyt,10/10/08,10/13/08,699,LV,34,48,2008
LA Times/Bloomberg,lat_bloomberg,10/10/08,10/13/08,1030,LV,39,45,2008
GWU/Battleground,gwu_battleground,10/9/08,10/15/08,1000,LV,40,49,2008
NBC News/Wall St. Jrnl*,nbc_wsj,10/17/08,10/20/08,1159,RV,38,49,2008
CBS News/NY Times,cbs_nyt,10/19/08,10/22/08,1146,RV,36,48,2008
GWU/Battleground,gwu_battleground,10/16/08,10/22/08,1000,LV,40,48,2008
Rasmussen Reports,rasmussen,10/20/08,10/26/08,7000,LV,40,47,2008
CBS News/NY Times,cbs_nyt,10/25/08,10/29/08,1005,LV,36,48,2008
GWU/Battleground,gwu_battleground,10/23/08,10/29/08,1000,LV,41,45,2008
Diageo/Hotline,diageo,10/31/08,11/2/08,887,LV,39,44,2008
Gallup,gallup,10/31/08,11/2/08,2472,LV,41,53,2008
NBC News/Wall St. Jrnl*,nbc_wsj,11/1/08,11/2/08,1011,LV,36,48,2008
CNN/Opinion Research,cnn_orc,1/8/10,1/10/10,955,RV,48,45,2010
Pew Research,pew,1/6/10,1/10/10,1214,RV,44,46,2010
Rasmussen Reports,rasmussen,1/4/10,1/10/10,3500,LV,45,36,2010
Democracy Corps (D),dem_corps,1/7/10,1/11/10,836,LV,46,45,2010
Rasmussen Reports,rasmussen,1/11/10,1/17/10,3500,LV,45,37,2010
PPP (D),ppp,1/18/10,1/19/10,1151,RV,45,42,2010
McLaughlin & Associates (R),mclaughlin,1/19/10,1/20/10,1000,LV,42,37,2010
NPR - POS/GQR,npr,1/20/10,1/23/10,800,LV,44,39,2010
Rasmussen Reports,rasmussen,1/18/10,1/24/10,3500,LV,46,37,2010
PPP (D),ppp,1/29/10,1/31/10,584,RV,43,40,2010
Rasmussen Reports,rasmussen,1/25/10,1/31/10,3500,LV,45,38,2010
Gallup,gallup,2/1/10,2/3/10,942,RV,45,45,2010
Democracy Corps (D),dem_corps,2/2/10,2/4/10,805,LV,45,46,2010
Rasmussen Reports,rasmussen,2/1/10,2/7/10,3500,LV,44,36,2010
Pew Research,pew,2/3/10,2/9/10,1129,RV,42,45,2010
Rasmussen Reports,rasmussen,2/8/10,2/14/10,3500,LV,45,36,2010
CNN/Opinion Research,cnn_orc,2/12/10,2/15/10,954,RV,47,45,2010
Newsweek,newsweek,2/17/10,2/18/10,908,RV,43,45,2010
POS (R),pos,2/17/10,2/18/10,900,RV,43,42,2010
Rasmussen Reports,rasmussen,2/15/10,2/21/10,3500,LV,44,35,2010
Democracy Corps (D),dem_corps,2/20/10,2/24/10,851,LV,49,46,2010
McLaughlin & Associates (R),mclaughlin,2/24/10,2/25/10,1000,LV,42,35,2010
Ipsos/McClatchy,ipsos_mcclatchy,2/26/10,2/28/10,950,RV,43,47,2010
Rasmussen Reports,rasmussen,2/22/10,2/28/10,3500,LV,44,36,2010
Rasmussen Reports,rasmussen,3/1/10,3/7/10,3500,LV,44,37,2010
PPP (D),ppp,3/12/10,3/14/10,1403,RV,46,43,2010
Rasmussen Reports,rasmussen,3/8/10,3/14/10,3500,LV,45,35,2010
FOX News,fox_news,3/16/10,3/17/10,900,RV,42,38,2010
Democracy Corps (D),dem_corps,3/15/10,3/18/10,850,LV,43,44,2010
CNN/Opinion Research,cnn_orc,3/19/10,3/21/10,953,RV,48,45,2010
Quinnipiac,quinnipiac,3/16/10,3/21/10,1907,RV,44,39,2010
Rasmussen Reports,rasmussen,3/15/10,3/21/10,3500,LV,43,35,2010
CNN/Opinion Research,cnn_orc,3/25/10,3/28/10,935,RV,49,45,2010
Rasmussen Reports,rasmussen,3/22/10,3/28/10,3500,LV,46,39,2010
USA Today/Gallup,usa_today_gallup,3/26/10,3/28/10,968,RV,46,45,2010
Gallup,gallup,3/29/10,4/4/10,1344,RV,46,46,2010
Rasmussen Reports,rasmussen,3/29/10,4/4/10,3500,LV,47,38,2010
Ipsos-McClatchy,ipsos_mcclatchy,4/1/10,4/5/10,950,RV,46,45,2010
FOX News,fox_news,4/6/10,4/7/10,900,RV,43,39,2010
GWU/Battleground,gwu_battleground,4/5/10,4/8/10,1000,LV,41,40,2010
CNN/Opinion Research,cnn_orc,4/9/10,4/11/10,907,RV,46,50,2010
Gallup,gallup,4/5/10,4/11/10,1613,RV,48,44,2010
PPP (D),ppp,4/9/10,4/11/10,622,RV,47,42,2010
Rasmussen Reports,rasmussen,4/5/10,4/11/10,3500,LV,45,36,2010
Gallup,gallup,4/12/10,4/18/10,1600,RV,46,43,2010
Rasmussen Reports,rasmussen,4/12/10,4/18/10,3500,LV,46,36,2010
Democracy Corps (D),dem_corps,4/17/10,4/20/10,872,LV,45,43,2010
FOX News,fox_news,4/20/10,4/21/10,900,RV,42,38,2010
Gallup,gallup,4/19/10,4/25/10,1600,RV,45,45,2010
Rasmussen Reports,rasmussen,4/19/10,4/25/10,3500,LV,44,38,2010
National Journal/FD,nat_journal,4/22/10,4/26/10,1200,Adults,35,39,2010
Gallup,gallup,4/26/10,5/2/10,1600,RV,45,45,2010
Rasmussen Reports,rasmussen,4/26/10,5/2/10,3500,LV,44,37,2010
FOX News,fox_news,5/4/10,5/5/10,900,RV,42,40,2010
Gallup,gallup,5/3/10,5/8/10,1600,RV,46,46,2010
Rasmussen Reports,rasmussen,5/3/10,5/8/10,3500,LV,44,38,2010
Ipsos-McClatchy,ipsos_mcclatchy,5/6/10,5/9/10,905,RV,42,45,2010
Gallup,gallup,5/10/10,5/16/10,1600,RV,46,45,2010
Rasmussen Reports,rasmussen,5/10/10,5/16/10,3500,LV,43,38,2010
Democracy Corps (D),dem_corps,5/15/10,5/18/10,1000,LV,46,43,2010
FOX News,fox_news,5/18/10,5/19/10,900,RV,41,41,2010
Gallup,gallup,5/17/10,5/23/10,1600,RV,46,47,2010
Rasmussen Reports,rasmussen,5/17/10,5/23/10,3500,LV,44,36,2010
Quinnipiac,quinnipiac,5/19/10,5/24/10,1914,RV,36,42,2010
Gallup,gallup,5/24/10,5/30/10,1600,RV,49,43,2010
Rasmussen Reports,rasmussen,5/24/10,5/30/10,3500,LV,44,37,2010
Gallup,gallup,5/31/10,6/6/10,1600,RV,46,46,2010
Rasmussen Reports,rasmussen,5/31/10,6/6/10,3500,LV,44,35,2010
PPP (D),ppp,6/4/10,6/7/10,650,RV,41,43,2010
FOX News,fox_news,6/8/10,6/9/10,900,RV,38,41,2010
Gallup,gallup,6/7/10,6/13/10,1600,RV,49,44,2010
Ipsos/McClatchy,ipsos_mcclatchy,6/10/10,6/13/10,846,RV,43,42,2010
Rasmussen Reports,rasmussen,6/7/10,6/13/10,3500,LV,46,36,2010
USA Today/Gallup,usa_today_gallup,6/11/10,6/13/10,1014,Adults,43,48,2010
Gallup,gallup,6/14/10,6/20/10,1600,RV,46,46,2010
